state_county, latitude , longitude 
Georgia_Appling, 31.74000 ,-82.27000 
Georgia_Atkinson, 31.30000 ,-82.87333 
Georgia_Bacon, 31.54000 ,-82.47000 
Georgia_Baker, 31.30000 ,-84.37000 
Georgia_Baldwin, 33.08000 ,-83.23000 
Georgia_Banks, 34.31500 ,-83.50750 
Georgia_Barrow, 33.97250 ,-83.71000 
Georgia_Bartow, 34.22125 ,-84.82500 
Georgia_Ben Hill, 31.70000 ,-83.25000 
Georgia_Berrien, 31.26250 ,-83.24500 
Georgia_Bibb, 32.82125 ,-83.67625 
Georgia_Bleckley, 32.38000 ,-83.35000 
Georgia_Brantley, 31.20000 ,-81.96667 
Georgia_Brooks, 30.89200 ,-83.59200 
Georgia_Bryan, 32.06000 ,-81.46667 
Georgia_Bulloch, 32.43000 ,-81.80200 
Georgia_Burke, 33.03000 ,-81.98600 
Georgia_Butts, 33.28667 ,-83.96000 
Georgia_Calhoun, 31.50000 ,-84.63500 
Georgia_Camden, 30.90167 ,-81.67000 
Georgia_Candler, 32.39000 ,-82.06000 
Georgia_Carroll, 33.59875 ,-85.07000 
Georgia_Catoosa, 34.91500 ,-85.17500 
Georgia_Charlton, 30.66500 ,-82.06000 
Georgia_Chatham, 32.07615 ,-81.09231 
Georgia_Chattahoochee, 32.34500 ,-84.82000 
Georgia_Chattooga, 34.47250 ,-85.38000 
Georgia_Cherokee, 34.19571 ,-84.51286 
Georgia_Clarke, 33.95000 ,-83.39000 
Georgia_Clay, 31.58000 ,-84.92500 
Georgia_Clayton, 33.56000 ,-84.35143 
Georgia_Clinch, 30.89667 ,-82.72333 
Georgia_Cobb, 33.92111 ,-84.56778 
Georgia_Coffee, 31.55333 ,-82.82500 
Georgia_Colquitt, 31.21200 ,-83.80200 
Georgia_Columbia, 33.48200 ,-82.19000 
Georgia_Cook, 31.18333 ,-83.44000 
Georgia_Coweta, 33.31667 ,-84.72333 
Georgia_Crawford, 32.72333 ,-84.00333 
Georgia_Crisp, 31.89500 ,-83.75000 
Georgia_Dade, 34.90000 ,-85.44250 
Georgia_Dawson, 34.42000 ,-84.11000 
Georgia_Decatur, 30.85400 ,-84.53800 
