State Name,AQI,Date
South Dakota,71,2015-10-01
South Dakota,84,2015-11-01
South Dakota,72,2015-12-01
Tennessee,121,2015-01-01
Tennessee,114,2015-02-01
Tennessee,105,2015-03-01
Tennessee,108,2015-04-01
Tennessee,133,2015-05-01
Tennessee,129,2015-06-01
Tennessee,97,2015-07-01
Tennessee,110,2015-08-01
Tennessee,100,2015-09-01
Tennessee,138,2015-10-01
Tennessee,108,2015-11-01
Tennessee,109,2015-12-01
Texas,101,2015-01-01
Texas,90,2015-02-01
Texas,93,2015-03-01
Texas,147,2015-04-01
Texas,133,2015-05-01
Texas,203,2015-06-01
Texas,147,2015-07-01
Texas,200,2015-08-01
Texas,161,2015-09-01
Texas,154,2015-10-01
Texas,90,2015-11-01
Texas,99,2015-12-01
Utah,153,2015-01-01
Utah,71,2015-02-01
Utah,80,2015-03-01
Utah,189,2015-04-01
Utah,90,2015-05-01
Utah,143,2015-06-01
Utah,108,2015-07-01
Utah,157,2015-08-01
Utah,101,2015-09-01
Utah,53,2015-10-01
Utah,89,2015-11-01
Utah,106,2015-12-01
Vermont,121,2015-01-01
Vermont,110,2015-02-01
Vermont,82,2015-03-01
Vermont,77,2015-04-01
Vermont,100,2015-05-01
Vermont,74,2015-06-01
Vermont,64,2015-07-01
Vermont,65,2015-08-01
Vermont,87,2015-09-01
Vermont,53,2015-10-01
Vermont,69,2015-11-01
Vermont,81,2015-12-01
Virgin Islands,26,2015-01-01
Virgin Islands,25,2015-02-01
Virgin Islands,61,2015-03-01
Virgin Islands,83,2015-04-01
Virgin Islands,88,2015-05-01
Virgin Islands,87,2015-06-01
Virgin Islands,80,2015-07-01
Virgin Islands,59,2015-08-01
Virgin Islands,51,2015-09-01
Virgin Islands,69,2015-10-01
Virgin Islands,59,2015-11-01
Virgin Islands,36,2015-12-01
Virginia,85,2015-01-01
Virginia,84,2015-02-01
Virginia,71,2015-03-01
Virginia,97,2015-04-01
Virginia,105,2015-05-01
Virginia,122,2015-06-01
Virginia,105,2015-07-01
Virginia,119,2015-08-01
Virginia,126,2015-09-01
Virginia,62,2015-10-01
Virginia,71,2015-11-01
Virginia,76,2015-12-01
Washington,152,2015-01-01
Washington,116,2015-02-01
Washington,104,2015-03-01
Washington,64,2015-04-01
Washington,93,2015-05-01
Washington,136,2015-06-01
Washington,162,2015-07-01
Washington,490,2015-08-01
Washington,112,2015-09-01
Washington,127,2015-10-01
Washington,189,2015-11-01
Washington,121,2015-12-01
West Virginia,92,2015-01-01
West Virginia,94,2015-02-01
West Virginia,105,2015-03-01
West Virginia,105,2015-04-01
West Virginia,115,2015-05-01
West Virginia,133,2015-06-01
West Virginia,162,2015-07-01
West Virginia,105,2015-08-01
West Virginia,110,2015-09-01
West Virginia,86,2015-10-01
West Virginia,63,2015-11-01
West Virginia,91,2015-12-01
Wisconsin,112,2015-01-01
Wisconsin,109,2015-02-01
Wisconsin,130,2015-03-01
Wisconsin,132,2015-04-01
Wisconsin,130,2015-05-01
Wisconsin,116,2015-06-01
Wisconsin,159,2015-07-01
Wisconsin,128,2015-08-01
Wisconsin,147,2015-09-01
Wisconsin,137,2015-10-01
Wisconsin,140,2015-11-01
Wisconsin,121,2015-12-01
Wyoming,94,2015-01-01
Wyoming,99,2015-02-01
Wyoming,161,2015-03-01
Wyoming,101,2015-04-01
Wyoming,107,2015-05-01
Wyoming,105,2015-06-01
Wyoming,152,2015-07-01
Wyoming,146,2015-08-01
Wyoming,119,2015-09-01
Wyoming,82,2015-10-01
Wyoming,198,2015-11-01
Wyoming,90,2015-12-01
Alabama,94,2016-01-01
Alabama,76,2016-02-01
Alabama,81,2016-03-01
Alabama,105,2016-04-01
Alabama,170,2016-05-01
Alabama,151,2016-06-01
Alabama,139,2016-07-01
Alabama,77,2016-08-01
Alabama,100,2016-09-01
Alabama,131,2016-10-01
Alabama,119,2016-11-01
Alabama,179,2016-12-01
Alaska,178,2016-01-01
Alaska,156,2016-02-01
Alaska,88,2016-03-01
Alaska,117,2016-04-01
Alaska,70,2016-05-01
Alaska,64,2016-06-01
Alaska,52,2016-07-01
Alaska,43,2016-08-01
Alaska,59,2016-09-01
Alaska,156,2016-10-01
Alaska,160,2016-11-01
Alaska,180,2016-12-01
Arizona,203,2016-01-01
Arizona,175,2016-02-01
Arizona,200,2016-03-01
Arizona,200,2016-04-01
Arizona,200,2016-05-01
Arizona,204,2016-06-01
Arizona,1263,2016-07-01
Arizona,172,2016-08-01
Arizona,175,2016-09-01
Arizona,168,2016-10-01
Arizona,123,2016-11-01
Arizona,419,2016-12-01
Arkansas,64,2016-01-01
Arkansas,67,2016-02-01
Arkansas,67,2016-03-01
Arkansas,84,2016-04-01
Arkansas,101,2016-05-01
Arkansas,159,2016-06-01
Arkansas,71,2016-07-01
Arkansas,66,2016-08-01
Arkansas,158,2016-09-01
Arkansas,80,2016-10-01
Arkansas,74,2016-11-01
Arkansas,63,2016-12-01
California,748,2016-01-01
California,154,2016-02-01
California,2002,2016-03-01
California,300,2016-04-01
California,3950,2016-05-01
California,2056,2016-06-01
California,389,2016-07-01
California,217,2016-08-01
California,176,2016-09-01
California,6403,2016-10-01
California,2999,2016-11-01
California,2184,2016-12-01
Colorado,105,2016-01-01
Colorado,90,2016-02-01
Colorado,114,2016-03-01
Colorado,271,2016-04-01
Colorado,122,2016-05-01
Colorado,154,2016-06-01
Colorado,159,2016-07-01
Colorado,133,2016-08-01
Colorado,109,2016-09-01
Colorado,78,2016-10-01
Colorado,85,2016-11-01
Colorado,133,2016-12-01
Connecticut,94,2016-01-01
Connecticut,78,2016-02-01
Connecticut,77,2016-03-01
Connecticut,108,2016-04-01
Connecticut,185,2016-05-01
Connecticut,154,2016-06-01
Connecticut,187,2016-07-01
Connecticut,154,2016-08-01
Connecticut,133,2016-09-01
Connecticut,81,2016-10-01
Connecticut,135,2016-11-01
Connecticut,73,2016-12-01
Country Of Mexico,148,2016-01-01
Country Of Mexico,134,2016-02-01
Country Of Mexico,140,2016-03-01
Country Of Mexico,137,2016-04-01
Country Of Mexico,99,2016-05-01
Country Of Mexico,122,2016-06-01
Country Of Mexico,148,2016-07-01
Country Of Mexico,116,2016-08-01
Country Of Mexico,119,2016-09-01
Country Of Mexico,163,2016-10-01
Country Of Mexico,194,2016-11-01
Country Of Mexico,162,2016-12-01
Delaware,76,2016-01-01
Delaware,75,2016-02-01
Delaware,84,2016-03-01
Delaware,100,2016-04-01
Delaware,154,2016-05-01
Delaware,112,2016-06-01
Delaware,147,2016-07-01
Delaware,108,2016-08-01
Delaware,140,2016-09-01
Delaware,54,2016-10-01
Delaware,92,2016-11-01
Delaware,74,2016-12-01
District Of Columbia,115,2016-01-01
District Of Columbia,73,2016-02-01
District Of Columbia,67,2016-03-01
District Of Columbia,93,2016-04-01
District Of Columbia,105,2016-05-01
District Of Columbia,97,2016-06-01
District Of Columbia,129,2016-07-01
District Of Columbia,80,2016-08-01
District Of Columbia,112,2016-09-01
District Of Columbia,92,2016-10-01
District Of Columbia,102,2016-11-01
District Of Columbia,68,2016-12-01
Florida,144,2016-01-01
Florida,104,2016-02-01
Florida,84,2016-03-01
Florida,115,2016-04-01
Florida,154,2016-05-01
Florida,97,2016-06-01
Florida,175,2016-07-01
Florida,74,2016-08-01
Florida,96,2016-09-01
Florida,164,2016-10-01
Florida,122,2016-11-01
Florida,75,2016-12-01
Georgia,92,2016-01-01
Georgia,93,2016-02-01
Georgia,122,2016-03-01
